Answer,Answer Index
Tell the attending that he cannot fail to disclose this mistake,2
Cross-linking of DNA,4
Cholesterol embolization,2
"Lactose-fermenting, gram-negative rods forming pink colonies on MacConkey agar",4
Ketotifen eye drops,2
Reassurance and continuous monitoring,4
Common iliac artery aneurysm,3
Clopidogrel,3
Active or recurrent pelvic inflammatory disease (PID),2
Silvery plaques on extensor surfaces,1
It is an HIV-1/HIV2 antibody differentiation immunoassay,4
Ruxolitinib,4
Meningioma,2
A reduction in diastolic filling time,4
Rotavirus,3
Gallbladder cancer,2
IL-4,4
Matching,4
Ibuprofen + colchicine +/- omeprazole,2
"Benzodiazepine intoxication
""",4
Previous radiation therapy,3
22q11 deletion,1
Histoplasma capsulatum infection,3
Staphylococcus aureus,4
Intubate with mechanical ventilation,1
Respiratory burst,4
Steeple sign,4
Induction of CYP3A4 by rifampin leading to decreased serum levels of ethinylestradiol and progesterone,1
Increased cerebrospinal fluid protein with normal cell count,4
Reassurance,3
Obstruction of the cystic duct,4
Increased ventricular wall stiffness,3
Chloramphenicol,4
Proliferation of gastric mucus-producing cells,2
"Insulin, potassium, IV fluids, and glucose",1
Psoriatic arthritis,1
Paraneoplastic syndrome from small cell carcinoma of the lung,4
Defective T cell function,1
2.67,4
Arcuate fasciculus,1
Polycystic ovarian syndrome (PCOS),3
Strict blood glucose control,3
Duodenal atresia,1
Coronary sinus,2
Globular 10-week sized uterus,1
Fomepizole,4
20,3
Femoropopliteal artery stenosis,1
Recommend autopsy of the infant,2
Proliferation of surfactant-secreting cells,3
Induces breaks in double-stranded DNA,4
Aldosterone excess,1
Defective hepatic bile excretion,4
Atropine,3
Tardive dyskinesia,1
KOH examination of lesion scrapings,1
Gynecomastia,3
Variable β-sequence of the T cell receptor,2
Hemolytic uremic syndrome,3
Patients with this disorder are not further sub-typed,1
Salmonella typhi,3
Acetaldehyde,1
No tests required,4
Insert a ‘straight cath’ into the patient’s bladder,1
Disruption of cell membrane permeability,1
Lytic lesions of the lumbar spine,2
Perform emergency laparotomy,3
Transplacental passage of TSH receptor antibodies,2
Nadalol,4
Proceed with liver biopsy,1
Spontaneous bacterial peritonitis,1
Cardiac contusion,1
Liver transplantation,3
Methimazole,2
Potassium hydroxide preparation,3
5,1
Biopsy of the mass,2
Deposition of calcium pyrophosphate (CPP) crystals,2
Transposition of great vessels,3
Interrupted 2-0 polypropylene suture with supporting pledgets,3
Reid Index > 50%,2
Caspase-9,1
Acral lentiginous,3
Jaw claudication,1
Endometrial tissue outside the uterine cavity,3
Friable irregular masses attached to the valve,2
Laparoscopy,3
High LDL-cholesterol,3
Thoracic aortic rupture,3
Propylthiouracil,2
Freshwater snails,4
Normal hemoglobin in patients with tetralogy of Fallot does not rule out iron deficiency anemia.,2
Delirium,3
Rheumatoid arthritis,4
A drop in systolic blood pressure of 14 mmHg during inspiration,3
MR angiography of the brain,4
Autosomal dominant,1
Antigenic variation,2
Cervical immobilization,2
Bromocriptine,2
Anti-B antibodies,4
Amantadine,1
Stop magnesium sulfate and give calcium gluconate,1
Myxedema coma,1
Aortic regurgitation,2
Borderline personality disorder,2
Positive emission tomography (PET) of chest now,2
Primary spermatocyte,1
Surgical pinning of the femoral head,4
Stool leukocytes,2
Bacterial translocation,3
Racemic epinephrine and intramuscular corticosteroid therapy,2
Esophageal fibrosis,2
JAK/STAT,3
Metformin,3
Power stroke,4
TSC1 gene on chromosome 9,3
Metformin,3
Chronic obstructive pulmonary disease,4
Avoid exposure to birds,3
Uterine artery,4
Epstein-Barr virus,1
Zika virus,4
Mixing study,1
Diarrhea,2
Isoniazid,1
Herniation of the uncus,1
Natural killer cells,3
Intrafascicular infiltration on muscle biopsy,1
Decreased acetylcholine release,1
Biliary atresia,2
QT prolongation,2
Diverticulitis,1
Aortoiliac atherosclerosis,2
"Increased PTH, decreased calcium, increased phosphate, decreased calcitriol",1
Binds endogenous peptides that have been transported by the TAP channel,3
Gastroesophageal junction incompetence,3
Treatment with radioactive iodine,4
Reassuring the parents and use of an enuresis alarm,2
Decreased positional sense in the ipsilateral leg,4
Amoxicilin,3
MRI of the adrenal glands,1
Inhibition of beta-tubulin polymerization,1
Aromatic amines,2
Reassurance and follow-up,3
Normal light microscopy findings,4
Tumor arising from cutaneous T cells,3
Cognitive behavioral therapy,4
Frontotemporal dementia,2
Immunoglobulin- IgM,4
Levofloxacin,1
Theca leutein cysts,4
Serum antibodies against hemagglutinin,1
Previous suicide attempt,1
Chickenpox,3
Synthetic cathinone intoxication,4
Benztropine,2
Acute pancreatitis,1
Administer calcium gluconate,3
Bartter's syndrome,2
1 and 2,3
Non-Hodgkin lymphoma,2
Linear IgG staining on immunofluorescence,3
Positive latex agglutination test,1
Viral reactivation in dorsal root ganglia,1
Using mortality rates in the analysis,2
Silicosis,2
Takotsubo cardiomyopathy,3
Undergo upper GI endoscopy,2
Antigen-antibody complexes,3
Miosis,3
Prominent occiput,4
Olanzapine,3
Increase in serum ACTH,1
Lead-time bias,4
Needle decompression,4
580 / (580 + 20),4
Osteoarthritis,3
Right-sided analgesia,4
Chlamydia trachomatis infection,3
Glanzmann’s thrombasthenia,2
"Non-enveloped with linear, double-stranded DNA",4
Glandular tissue enlargement,2
Resistance to clotting factor degradation,4
Fluoxetine,1
Seek a court order for neoadjuvant chemotherapy,4
The mischarged tRNA with valine will be incorporated in the codons that specificy for lysine,2
Ketamine,2
Rotator cuff injury,4
Erosion of tooth enamel,3
Citalopram,1
Maternal diabetes,3
Effect modification,4
IFN-gamma,3
Conversion of aminolevulinic acid to porphobilinogen,3
Recall bias,3
Warfarin,1
Chronic kidney failure,2
Prostate cancer,4
Cortical thinning with tubular atrophy,3
Calcium oxalate crystals,1
Ovarian cancer,2
Inferior thyroid arteries,3
Benznidazole,1
Inferior mesenteric artery,2
"I, III, IV",2
LOD Score > 3,3
"Close observation, pap smear screening at 6 and 12 months, and HPV DNA testing at 12 months",1
Inhibits viral assembly,2
Squamous cell carcinoma,1
Initiation of S phase,3
Hepatitis C virus antibodies,2
Lack of risk calculation,4
Acalculous cholecystitis,1
Factitious disorder,2
Digital rectal examination,3
Vasoconstriction of the medullary vessels,4
Dilation and curettage,3
Dermis,4
Dysfunction in a transmembrane regulator,1
Decreased FEV1 and FVC with normal FEV1/FVC ratio,3
Administer zidovudine,1
Increased gene expression of GLUT-4,3
Endometrial sloughing and uterine contractions mediated by prostaglandin,1
Retrograde migration up peripheral nerve axons,2
Vitiligo,3
Fludarabinern,3
Amphotericin B,3
Chikungunya,1
Treating the underlying illness,4
Coarctation of the aorta,2
Staphylococcus epidermidis,1
Antibiotics and drainage,3
Acid-fast,1
Secretion of γ-interferon by activated T-lymphocytes,3
Active hepatitis A infection,1
Nucleotide excision repair,1
Dense fibroinflammatory infiltrate,2
Incidence rates will be higher during shorter time periods than longer periods.,1
Muscle biopsy,1
Neuron-specific enolase,4
Urease-producing organism in the small intestine,2
Absent Barr bodies on buccal smear,1
Restart rosuvastatin at a lower dose,1
Larynx,4
Increase PEEP,3
Repeat blood cultures now,1
Azithromycin and ethambutol,4
E2F transcription factors,2
"PPV decreases, NPV increases",2
Cognitive behavioral therapy (CBT),1
Finasteride,2
Methylphenidate,1
Imbalance of fluid secretion and resorption by the tunica vaginalis,4
Surgical debridement,1
Microcytic red blood cells,3
Actinic keratosis,3
Tetrahydrobiopterin,4
Decreased ALA synthesis,4
HFE gene,4
Reassurance,3
Staphylococcus aureus,3
↓ ↑ ↓,4
Systematic desensitization,3
Diffuse alveolar damage,1
Lower lobe cavitary mass,4
Primary respiratory acidosis,1
100%,4
Cochlea,4
"Gram-negative, oxidase-positive bacilli",3
Oligoclonal IgG bands on electrophoresis,3
No tests required,2
Autoimmune endocrinopathy,3
Abdominal CT scan,1
Keratoacanthoma,1
Adenosine,1
Interleukin 11,3
Toxic tubulointerstitial nephritis,4
BiPAP,1
Intravenous dexamethasone therapy,2
Cognitive behavioral therapy,2
Hemidesmosomes,3
